original,closest_match
"['<s>', 'satisfying', '</s>']","['<s>', 'double', 'burger,', 'super', 'satisfying,', 'filling', '</s>']"
"['<s>', 'highly', 'recommend', '</s>']","['<s>', 'highly', 'recommend,', 'place', '</s>']"
"['<s>', 'beautiful', '</s>']","['<s>', 'beautiful', 'scenery,', 'spectacular,', 'mountain', '</s>']"
"['<s>', 'recommend,', 'specialty', '</s>']","['<s>', 'recommend', 'women,', 'specialty', 'care', '</s>']"
"['<s>', 'shop,', 'clean,', 'comfortable', '</s>']","['<s>', 'felt,', 'comfortable,', 'shop,', 'hard', '</s>']"
"['<s>', 'no,', 'fair', 'price,', 'job', '</s>']","['<s>', 'job,', 'fair', 'price', '</s>']"
"['<s>', 'waste', '</s>']","['<s>', 'disappointing', 'food,', 'waste', '</s>']"
"['<s>', 'hungry,', 'constantly,', 'soda', '</s>']","['<s>', 'shift,', 'hungry', '</s>']"
"['<s>', 'groups,', 'really', 'unique', '!', '</s>']","['<s>', 'tasty,', 'neat,', 'bar,', 'really', 'unique', 'experience', '</s>']"
"['<s>', 'mother,', 'cold', '</s>']","['<s>', 'brother,', 'mother,', 'chicken,', 'cold,', 'dry', '</s>']"
"['<s>', 'friendly,', 'helpful', '</s>']","['<s>', 'counter,', 'friendly,', 'helpful', '</s>']"
"['<s>', 'amazing', 'too,', 'recommend,', 'peanut', 'butter', '</s>']","['<s>', 'peanut', 'butter', 'bar,', 'amazing,', '!', '</s>']"
"['<s>', 'dragged', '</s>']","['<s>', 'dragged,', 'bed,', 'falling', 'apart', '</s>']"
"['<s>', 'excited', '</s>']","['<s>', 'excited,', 'fried', 'chicken', '</s>']"
"['<s>', 'returning', '</s>']","['<s>', 'myself,', 'family,', 'returning', '</s>']"
"['<s>', 'beer,', 'incredible', '</s>']","['<s>', 'incredible', 'beer,', 'friendly', '</s>']"
"['<s>', 'is', 'worth,', '!', '</s>']","['<s>', 'is', 'definitely', 'worth,', 'money', '</s>']"
"['<s>', 'soggy', '</s>']","['<s>', 'food,', 'disgusting,', 'raw', 'chicken,', 'cold,', 'soggy', '</s>']"
"['<s>', 'bar,', 'awful', 'food', '</s>']","['<s>', 'awful,', 'food', '</s>']"
"['<s>', 'small,', 'iceberg,', 'dressing', '</s>']","['<s>', 'serve,', 'limp', 'iceberg,', 'bland', 'dressing', '</s>']"
"['<s>', 'relaxed', 'atmosphere', '</s>']","['<s>', 'clean,', 'relaxed', 'atmosphere', '</s>']"
"['<s>', 'dollars,', 'glass', '</s>']","['<s>', 'green', 'olives,', 'dollars', '</s>']"
"['<s>', 'technique,', 'poor', '</s>']","['<s>', 'poor,', 'teeth', '</s>']"
"['<s>', 'cool', 'spot,', 'recommend', '</s>']","['<s>', 'cool', 'spot', '</s>']"
"['<s>', 'dry', '</s>']","['<s>', 'dry,', 'sticking', '</s>']"
"['<s>', 'fantastic', '</s>']","['<s>', 'fantastic,', '!', '</s>']"
"['<s>', 'rooms,', 'hotel,', 'clean,', 'fantastic', '</s>']","['<s>', 'is,', 'great', 'hotel,', 'rooms,', 'clean', '</s>']"
"['<s>', 'outstanding', '</s>']","['<s>', 'steak,', 'outstanding', '</s>']"
"['<s>', 'right,', 'meal,', 'felt', 'comfortably', '</s>']","['<s>', 'love,', 'value', 'meal,', 'right', '</s>']"
"['<s>', 'far,', 'food', '</s>']","['<s>', 'food', '""nt""', '</s>']"
"['<s>', 'delightful', '</s>']","['<s>', 'delightful', 'presentation,', 'flow', '</s>']"
"['<s>', 'not,', 'kids', '</s>']","['<s>', 'kids,', 'not', '</s>']"
"['<s>', 'vegetables', '""nt""', 'clean', 'taste', '</s>']","['<s>', 'vegetables,', 'taste,', 'texture', '</s>']"
"['<s>', 'food', '</s>']","['<s>', 'deli,', 'food', '</s>']"
"['<s>', 'always,', 'winner', '</s>']","['<s>', 'combo,', 'always,', 'winner', '</s>']"
"['<s>', 'joke', '</s>']","['<s>', 'place,', 'absolute,', 'joke', '</s>']"
"['<s>', 'recommend,', 'guests', '</s>']","['<s>', 'highly', 'recommend', '</s>']"
"['<s>', 'love,', 'place', '</s>']","['<s>', 'absolutely', 'love,', 'place', '</s>']"
"['<s>', 'count', '</s>']","['<s>', 'count,', 'business', '</s>']"
"['<s>', 'annoying', '</s>']","['<s>', 'annoying,', 'shop', '</s>']"
"['<s>', 'terrible', '</s>']","['<s>', 'food,', 'terrible', '</s>']"
"['<s>', 'cheap', '</s>']","['<s>', 'cheap', 'drink', 'specials', '</s>']"
"['<s>', 'great,', 'price', '</s>']","['<s>', 'great', 'change,', 'great', 'price', '</s>']"
"['<s>', 'beautiful,', 'comfortable', 'especially', 'bowling', '</s>']","['<s>', 'beautiful', 'architecture,', 'amazing,', 'seats', 'comfortable', '</s>']"
"['<s>', 'friend,', 'pizza,', 'really', 'good', '</s>']","['<s>', 'pizza,', 'little', 'greasy,', 'really', 'good', '</s>']"
"['<s>', 'menu,', 'none', '</s>']","['<s>', 'menu,', 'kids,', 'none', '</s>']"
"['<s>', 'felt', '</s>']","['<s>', 'ultimately,', 'felt,', 'factory', '</s>']"
"['<s>', 'cold,', 'chewy,', 'blah', '</s>']","['<s>', 'chicken,', 'cold,', 'blah', '</s>']"
"['<s>', 'mind', '</s>']","['<s>', 'much,', 'mind', '</s>']"
"['<s>', 'fi', '</s>']","['<s>', 'love,', 'fast,', 'fi', '</s>']"
"['<s>', 'calling', 'corporate,', 'unacceptable', '</s>']","['<s>', 'calling', 'corporate,', 'complain', '</s>']"
"['<s>', 'disgusting', '</s>']","['<s>', 'pizza,', 'disgusting', '</s>']"
"['<s>', 'strange', '</s>']","['<s>', 'frankly,', 'tasteless,', 'texture,', 'strange', '</s>']"
"['<s>', 'company', '</s>']","['<s>', 'needless', '""nt""', 'company', '</s>']"
"['<s>', 'cream', 'cheese,', 'pad', '</s>']","['<s>', 'roll,', 'cream', 'cheese,', 'filled', '</s>']"
"['<s>', 'dive,', 'clean', '</s>']","['<s>', 'is,', 'great', 'little', 'clean', 'dive', 'bar', '</s>']"
"['<s>', 'place,', 'great', 'for', '</s>']","['<s>', 'place', 'is', 'great', 'for', '</s>']"
"['<s>', 'busy,', 'waited,', 'seated', '</s>']","['<s>', 'front,', 'waited,', 'seated', '</s>']"
"['<s>', 'specials,', 'always', 'great,', 'delicious', '</s>']","['<s>', 'food,', 'delicious,', 'always', 'great', '</s>']"
"['<s>', 'gross,', 'disgusting,', 'rip', '</s>']","['<s>', 'food,', 'disgusting,', 'gross', '</s>']"
"['<s>', 'perfectly', 'prepared', '</s>']","['<s>', 'everything', 'perfectly', 'prepared', '</s>']"
"['<s>', 'fresh,', 'perfectly', '</s>']","['<s>', 'pizza', 'tastes', 'perfectly,', 'fresh', 'ingredients', '</s>']"
"['<s>', 'amazing', 'service', '</s>']","['<s>', 'amazing', 'service,', 'modest', '</s>']"
"['<s>', 'great,', 'great', 'film', '</s>']","['<s>', 'clean,', 'friendly,', 'great,', 'film', '</s>']"
"['<s>', 'vomit', 'smell,', 'mornings', '</s>']","['<s>', 'smell,', 'vomit,', 'urine', '</s>']"
